"","x"
"1","BR007.D0E1YACXX.4.250048298"
"2","BR012.D0E1YACXX.4.250048299"
"3","BTx623.D0D0HACXX.5.250045895"
"4","Brandes.D0TFTACXX.5.250074199"
"5","CMS225.D0E1YACXX.4.250048302"
"6","IS1004.D0D0HACXX.5.250046281"
"7","IS10068.C1AB3ACXX.7.250137465"
"8","IS10189.C1AB3ACXX.7.250137466"
"9","IS10191.C1AB3ACXX.7.250138387"
"10","IS10234.628NVAAXX.5.250006969"
"11","IS10302.D0D0HACXX.5.250046333"
"12","IS1033.C1AB3ACXX.7.250137245"
"13","IS1036.C1AB3ACXX.7.250137246"
"14","IS1041.D0D0HACXX.5.250046282"
"15","IS1052.C1AB3ACXX.7.250137247"
"16","IS10757.D0D0HACXX.5.250046334"
"17","IS10801.628P7AAXX.7.250007025"
"18","IS10867.D0D0HACXX.5.250046335"
"19","IS10876.628P7AAXX.7.250007049"
"20","IS10882.628P7AAXX.7.250007073"
"21","IS10969.D0D0HACXX.5.250046336"
"22","IS11026.628P7AAXX.7.250007097"
"23","IS1106.C1AB3ACXX.7.250137248"
"24","IS1107.C1AB3ACXX.7.250137249"
"25","IS11119.628NVAAXX.5.250006899"
"26","IS1127.70MUKAAXX.1.250006394"
"27","IS11374.70MUKAAXX.2.250006018"
"28","IS11424.C1AB3ACXX.7.250138388"
"29","IS11431.C1AB3ACXX.7.250138389"
"30","IS11473.D0D0HACXX.5.250046338"
"31","IS1151.C1AB3ACXX.7.250137250"
"32","IS11619.D0D0HACXX.5.250046339"
"33","IS11758.B064FABXX.1.250009960"
"34","IS1182.C1AB3ACXX.7.250137251"
"35","IS1186.C1AB3ACXX.7.250137252"
"36","IS1187.C1AB3ACXX.7.250137253"
"37","IS11919.D0D0HACXX.5.250046340"
"38","IS11954.MRG.4.250047668"
"39","IS11960.D0D0HACXX.5.250046081"
"40","IS12031.C1AB3ACXX.7.250138390"
"41","IS12106.C1AB3ACXX.7.250138391"
"42","IS12110.70MUKAAXX.2.250006030"
"43","IS1212.D0D0HACXX.5.250045902"
"44","IS12169.628NVAAXX.5.250006923"
"45","IS1219.D0D0HACXX.5.250046284"
"46","IS12302.D0D0HACXX.5.250046341"
"47","IS1233.D0D0HACXX.5.250046285"
"48","IS1236.C1AB3ACXX.7.250137254"
"49","IS1240.C1AB3ACXX.7.250137255"
"50","IS1243.C1AB3ACXX.7.250137256"
"51","IS12447.628NVAAXX.5.250006947"
"52","IS1246.C1AB3ACXX.7.250137257"
"53","IS12531.628NVAAXX.5.250006971"
"54","IS1257.C1AB3ACXX.7.250137258"
"55","IS12584.C1AB3ACXX.7.250138392"
"56","IS12606.C1AB3ACXX.7.250138394"
"57","IS12706.D0D0HACXX.5.250046345"
