"pi" "gen_id" "country" "region" "Latitude" "Longitude" "Alt" "topsoil_pH" "subsoil_pH" "topsoil_cec" "subsoil_cec" "topsoil_nitrogen" "subsoil_nitrogen" "topsoil_sand" "subsoil_sand" "topsoil_silt" "subsoil_silt" "topsoil_clay" "subsoil_clay" "topsoil_soc" "subsoil_soc" "Ann.Mean.Tmp" "Tmp.Seas" "Mean.Diurn.Rng" "Max.Tmp.Wrm.M" "Min.Tmp.Cld.M" "Mean.Tmp.Wet.Q" "Mean.Tmp.Dry.Q" "Mean.Tmp.Wrm.Q" "Mean.Tmp.Cld.Q" "Ann.Prc" "Prc.Seas" "Prc.Wet.Q" "Prc.Dry.Q" "Prc.Cld.Q" "Prc.Wrm.Q" "Prc.Wet.M" "Prc.Dry.M" "tmean_Q1" "tmean_Q2" "tmean_Q3" "tmean_Q4" "prec_Q1" "prec_Q2" "prec_Q3" "prec_Q4" "is.minicore" "pet_min" "AridityIndex" "max_heat_index" "ann_heat_index" "coldindex.mean" "coldindex.min"
"IS10068" "IS10068.C1AB3ACXX.7.250137465" "Burkina Faso" "West Africa" 10.6333 -4.76666 278 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS10189" "IS10189.C1AB3ACXX.7.250137466" "Burkina Faso" "West Africa" 11.19999981 -4.300000191 432 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS10191" "IS10191.C1AB3ACXX.7.250138387" "Burkina Faso" "West Africa" 12.01000023 -0.1000000015 325 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1033" "IS1033.C1AB3ACXX.7.250137245" "India" "South Asia" 21.17000008 72.83000183 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1036" "IS1036.C1AB3ACXX.7.250137246" "India" "South Asia" 18.64999962 72.87000275 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1052" "IS1052.C1AB3ACXX.7.250137247" "India" "South Asia" 16.29999924 80.44999695 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS10876" "IS10876.628P7AAXX.7.250007049" "Nigeria" "West Africa" 9.75 8.380000114 856 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS10882" "IS10882.628P7AAXX.7.250007073" "Nigeria" "West Africa" 9.75 8.380000114 856 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1106" "IS1106.C1AB3ACXX.7.250137248" "India" "South Asia" 12.97000027 77.58000183 921 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1107" "IS1107.C1AB3ACXX.7.250137249" "India" "South Asia" 22.42000008 75.54000092 449 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS11119" "IS11119.628NVAAXX.5.250006899" "Ethiopia" "East Africa" 9.5 38.22999954 2534 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1127" "IS1127.70MUKAAXX.1.250006394" "India" "South Asia" 26.01000023 87.80000305 44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS11374" "IS11374.70MUKAAXX.2.250006018" "Ethiopia" "East Africa" 9.079999924 36.52999878 2055 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS11424" "IS11424.C1AB3ACXX.7.250138388" "Ethiopia" "East Africa" 4.880000114 38.08000183 1890 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS11431" "IS11431.C1AB3ACXX.7.250138389" "Ethiopia" "East Africa" 6.179999828 35.56000137 2306 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS11473" "IS11473.D0D0HACXX.5.250046338" "Eritrea" "East Africa" 15.10000038 36.65000153 592 79.3603439331055 80.3990173339844 495.872497558594 495.151000976562 118.421432495117 143.343872070312 185.004135131836 186.106536865234 290.897766113281 297.697204589844 524.229858398438 516.376953125 60.960262298584 80.0124816894531 284 2258 154 408 165 276 267 317 256 393 139 322 0 0 57 132 0 267.333333333333 317 276.333333333333 276.666666666667 0 57 322 14 TRUE 147 1813 24.0048446844745 13.8702209790318 -0.706666666666667 -0.1
"IS1151" "IS1151.C1AB3ACXX.7.250137250" "India" "South Asia" 18.29000092 77.02999878 600 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS11619" "IS11619.D0D0HACXX.5.250046339" "Ethiopia" "East Africa" 9.029999733 38.70000076 2435 64.8284149169922 67.7062683105469 397.543762207031 400.598907470703 157.282836914062 59.3734512329102 86.2764434814453 78.0142593383789 413.475006103516 373.059967041016 500.006774902344 549.363952636719 183.092147827148 58.9817733764648 154 1237 138 246 52 152 139 171 139 1171 90 702 37 52 234 271 9 156.666666666667 169 152.666666666667 139 122 295 702 52 TRUE 109 7832 11.1592540707791 5.49118132426601 0.0733333333333333 0.653333333333333
"IS11758" "IS11758.B064FABXX.1.250009960" "Ethiopia" "East Africa" 9.399999619 42.00999832 2016 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1182" "IS1182.C1AB3ACXX.7.250137251" "India" "South Asia" 25.57999992 85.25 56 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1186" "IS1186.C1AB3ACXX.7.250137252" "India" "South Asia" 12.93000031 79.12999725 208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1187" "IS1187.C1AB3ACXX.7.250137253" "India" "South Asia" 16.70999908 81.11000061 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS11919" "IS11919.D0D0HACXX.5.250046340" "Eritrea" "East Africa" 15.06999969 39.04999924 2021 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 183 1368 153 281 76 189 167 201 164 556 114 365 30 35 121 168 9 176.666666666667 201.333333333333 185 169.333333333333 33 121 358 44 TRUE 116 3295 13.6489983659284 7.13034203970482 -0.0933333333333332 0.493333333333333
"IS11954" "IS11954.MRG.4.250047668" "Eritrea" "East Africa" 15.31999969 38.91999817 2329 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS11960" "IS11960.D0D0HACXX.5.250046081" "Eritrea" "East Africa" 15.31999969 38.91999817 2329 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12031" "IS12031.C1AB3ACXX.7.250138390" "Ethiopia" "East Africa" 7.15 40.71667 1924 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12106" "IS12106.C1AB3ACXX.7.250138391" "Ethiopia" "East Africa" 7.480000019 45.15999985 712 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12110" "IS12110.70MUKAAXX.2.250006030" "Ethiopia" "East Africa" 9.210000038 36.68999863 2041 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12169" "IS12169.628NVAAXX.5.250006923" "Ethiopia" "East Africa" 12.02999973 39.02999878 2272 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1236" "IS1236.C1AB3ACXX.7.250137254" "India" "South Asia" 10.60000038 78.41000366 168 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1240" "IS1240.C1AB3ACXX.7.250137255" "India" "South Asia" 12.14999962 77.11000061 654 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1243" "IS1243.C1AB3ACXX.7.250137256" "India" "South Asia" 9.170000076 77.86000061 109 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1246" "IS1246.C1AB3ACXX.7.250137257" "India" "South Asia" 9.800000191 78.11000061 125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12531" "IS12531.628NVAAXX.5.250006971" "Ethiopia" "East Africa" 9.31000042 42.11000061 1962 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS1257" "IS1257.C1AB3ACXX.7.250137258" "India" "South Asia" 9.319999695 78.34999847 31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12584" "IS12584.C1AB3ACXX.7.250138392" "Kenya" "East Africa" -3.349999905 38.56000137 679 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12590" "IS12590.C1AB3ACXX.7.250138393" "Kenya" "East Africa" -1.909999967 40.13000107 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12606" "IS12606.C1AB3ACXX.7.250138394" "Philippines" "South Asia" 12.4906 122.0628 162 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12734" "IS12734.C1AB3ACXX.7.250138395" "China" "East Asia" 43.86000061 126.5699997 192 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12740" "IS12740.C1AB3ACXX.7.250138396" "China" "East Asia" 39.92889 116.38833 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12779" "IS12779.C1AB3ACXX.7.250138397" "Turkey" "Middle East" 36.2333 36.1166 185 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12782" "IS12782.C1AB3ACXX.7.250138398" "Turkey" "Middle East" 38.06667 39.25 535 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12789" "IS12789.C1AB3ACXX.7.250138399" "Turkey" "Middle East" 36.9125 30.689722 77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12793" "IS12793.C1AB3ACXX.7.250138400" "Turkey" "Middle East" 37.7202778 30.2908333 951 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
