"trait","model","r.mean","r.sd"
"topsoil_pH","rrBLUP","0.61213698922164","0.00415916558929272"
"subsoil_pH","rrBLUP","0.410037324304127","0.00434486269476802"
"topsoil_cec","rrBLUP","0.529727386212497","0.00418169226874418"
"subsoil_cec","rrBLUP","0.511903086330351","0.00493327470785551"
"topsoil_nitrogen","rrBLUP","0.414468674921903","0.0110062998905495"
"subsoil_nitrogen","rrBLUP","0.215617288569961","0.00658164062983159"
"topsoil_sand","rrBLUP","0.526148068433136","0.00519877510884259"
"subsoil_sand","rrBLUP","0.460448351257885","0.0064281599429826"
"topsoil_silt","rrBLUP","0.509796339423582","0.00473243246273596"
"subsoil_silt","rrBLUP","0.459908104857328","0.00473480938442969"
"topsoil_clay","rrBLUP","0.472595386737809","0.00773899593079222"
"subsoil_clay","rrBLUP","0.451773870871972","0.00786573832726731"
"topsoil_soc","rrBLUP","0.56629577288829","0.0087673697469348"
"subsoil_soc","rrBLUP","0.32946365221122","0.0130159957800495"
"Ann.Mean.Tmp","rrBLUP","0.689047224349702","0.0059433288474191"
"Tmp.Seas","rrBLUP","0.783530098446137","0.00245644559543482"
"Mean.Diurn.Rng","rrBLUP","0.438012747310126","0.00639611067318657"
"Max.Tmp.Wrm.M","rrBLUP","0.65925349105114","0.00509388046248753"
"Min.Tmp.Cld.M","rrBLUP","0.700696261352533","0.0057664188928612"
"Mean.Tmp.Wet.Q","rrBLUP","0.614459346632273","0.00776742405659446"
"Mean.Tmp.Dry.Q","rrBLUP","0.69897444089893","0.00575966232114568"
"Mean.Tmp.Wrm.Q","rrBLUP","0.667150302217843","0.0053758556129196"
"Mean.Tmp.Cld.Q","rrBLUP","0.762598530192317","0.00385966211486801"
"Ann.Prc","rrBLUP","0.42015797137785","0.00774374884955"
"Prc.Seas","rrBLUP","0.602597983577476","0.00368609392526804"
"Prc.Wet.Q","rrBLUP","0.442536569803887","0.00586912351368155"
"Prc.Dry.Q","rrBLUP","0.598944160998826","0.0043895801342285"
"Prc.Cld.Q","rrBLUP","0.348004309375924","0.0132019410676703"
"Prc.Wrm.Q","rrBLUP","0.419192271845756","0.00832804580268979"
"Prc.Wet.M","rrBLUP","0.434844175758441","0.00667961769918648"
"Prc.Dry.M","rrBLUP","0.552473653452891","0.00675290391621"
"tmean_Q1","rrBLUP","0.747389582046329","0.0028703199389061"
"tmean_Q2","rrBLUP","0.727645708520302","0.00525499166665132"
"tmean_Q3","rrBLUP","0.640502748873829","0.00759582137186986"
"tmean_Q4","rrBLUP","0.705936097920711","0.00446779696075273"
"prec_Q1","rrBLUP","0.643231756856565","0.00538260685585282"
"prec_Q2","rrBLUP","0.492806284864902","0.00791928263155024"
"prec_Q3","rrBLUP","0.646092249467707","0.00399462355428038"
"prec_Q4","rrBLUP","0.580855041318421","0.00579499383026824"
