"pi","group"
"IS10068",1
"IS10189",2
"IS10191",1
"IS1033",3
"IS1036",3
"IS1052",2
"IS10876",2
"IS10882",2
"IS1106",2
"IS1107",3
"IS11119",4
"IS1127",3
"IS11374",4
"IS11424",4
"IS11431",5
"IS11473",1
"IS1151",1
"IS11619",4
"IS11758",4
"IS1182",3
"IS1186",2
"IS1187",2
"IS11919",4
"IS11954",4
"IS11960",4
"IS12031",4
"IS12106",1
"IS12110",4
"IS12169",4
"IS1236",2
"IS1240",2
"IS1243",2
"IS1246",2
"IS12531",4
"IS1257",2
"IS12584",2
"IS12590",2
"IS12606",3
"IS12734",6
"IS12740",6
"IS12779",4
"IS12782",4
"IS12789",4
"IS12793",4
"IS12796",4
"IS12801",4
"IS12804",4
"IS12805",4
"IS12808",4
"IS12810",4
"IS12811",4
"IS12813",4
"IS12815",6
"IS12817",4
"IS12818",4
"IS12819",4
"IS12821",4
"IS12822",4
"IS13148",4
"IS13155",4
"IS13263",1
"IS13264",3
"IS13515",4
"IS1360",3
"IS1371",1
"IS13782",4
"IS13791",4
"IS13827",4
"IS13845",4
"IS13893",4
"IS13919",4
"IS13926",4
"IS13971",4
"IS1398",2
"IS13989",4
"IS1401",1
"IS14010",4
"IS14133",4
"IS1416",1
"IS1425",2
"IS14444",3
"IS14446",1
"IS14449",1
"IS14478",2
"IS14556",1
"IS14564",1
"IS14567",2
"IS14635",2
"IS1464",1
"IS1469",1
"IS14719",5
"IS1472",2
"IS14724",5
"IS14735",5
"IS1477",2
"IS1520",2
"IS1523",2
"IS1540",2
"IS17149",3
"IS17185",1
"IS17195",2
"IS17196",2
"IS17669",1
"IS17671",1
"IS17749",2
"IS17752",2
"IS17766",2
"IS17815",1
"IS17819",2
"IS17857",2
"IS17864",2
"IS17872",3
"IS17885",2
"IS17891",2
"IS17896",2
"IS17905",3
"IS17909",1
"IS17912",3
"IS17917",1
"IS17919",1
"IS17920",1
"IS17921",1
"IS17922",1
"IS17925",1
"IS17926",3
"IS17929",3
"IS17930",3
"IS17933",1
"IS17937",1
"IS17941",3
"IS17942",3
"IS17958",1
"IS17980",1
"IS18039",1
"IS18234",3
"IS18235",3
"IS18236",3
"IS18238",3
"IS18295",1
"IS18303",1
"IS18822",1
"IS18948",3
"IS19016",1
"IS19026",1
"IS19041",1
"IS19126",1
"IS19132",1
"IS19153",1
"IS19262",1
"IS19477",5
"IS19485",5
"IS19494",2
"IS19507",2
"IS19513",2
"IS19520",2
"IS19677",3
"IS19680",3
"IS19685",3
"IS19698",3
"IS19700",3
"IS19706",3
"IS19732",3
"IS19758",3
"IS19804",3
"IS19847",3
"IS19859",3
"IS19946",1
"IS19950",1
"IS19953",1
"IS19956",1
"IS19962",1
"IS19975",1
"IS19978",1
"IS19982",1
"IS19988",1
"IS19991",1
"IS19998",1
"IS20004",1
"IS20016",1
"IS20024",1
"IS20027",1
"IS20028",1
"IS20049",1
"IS20064",1
"IS20073",1
"IS20087",1
"IS20105",1
"IS20116",1
"IS20125",1
"IS20158",1
"IS20164",1
"IS20166",1
"IS20173",1
"IS20187",1
"IS20216",1
"IS20225",1
"IS20230",1
"IS20234",1
"IS20243",1
"IS20250",1
"IS20261",1
"IS20300",1
"IS20307",1
"IS20314",1
"IS20328",1
"IS20345",1
"IS20348",1
"IS20363",1
"IS20364",1
"IS20378",1
"IS20398",1
"IS20441",1
"IS20448",1
"IS20450",1
"IS20452",1
"IS20460",1
"IS20463",1
"IS20488",1
"IS20490",1
"IS20492",1
"IS20497",1
"IS20498",1
"IS20905",2
"IS21015",4
"IS21055",4
"IS21083",5
"IS21124",5
"IS21126",5
"IS21139",4
"IS21155",5
"IS21160",4
"IS21169",4
"IS21309",4
"IS21310",4
"IS21323",4
"IS21328",1
"IS21343",4
"IS21347",4
"IS21401",4
"IS21403",4
"IS21425",2
"IS21464",1
"IS21512",1
"IS21519",4
"IS21521",4
"IS21522",2
"IS21535",2
"IS21545",4
"IS21546",2
"IS21557",4
"IS2156",1
"IS21565",4
"IS21583",4
"IS21631",4
"IS21645",1
"IS21863",4
"IS21976",2
"IS21982",2
"IS21991",1
"IS21996",3
"IS21997",1
"IS22001",3
"IS22009",3
"IS22019",3
"IS22025",4
"IS22026",4
"IS22040",1
"IS2205",3
"IS2206",3
"IS22074",1
"IS22100",3
"IS22104",1
"IS22193",2
"IS22239",4
"IS22282",4
"IS22287",4
"IS22291",4
"IS22294",4
"IS22325",4
"IS22330",4
"IS22334",4
"IS22598",3
"IS22601",3
"IS22604",5
"IS22608",2
"IS22609",3
"IS22615",1
"IS22616",1
"IS22618",4
"IS2262",1
"IS22701",1
"IS22702",1
"IS22720",1
"IS22742",1
"IS22746",1
"IS22751",1
"IS22785",1
"IS22789",2
"IS22792",1
"IS22799",1
"IS22909",1
"IS22986",2
"IS22996",2
"IS23033",1
"IS23048",1
"IS23053",1
"IS23100",4
"IS23108",4
"IS23142",4
"IS23166",4
"IS23178",4
"IS23184",4
"IS23188",4
"IS23216",4
"IS23225",4
"IS23240",4
"IS23248",4
"IS23262",4
"IS23263",4
"IS23275",4
"IS23283",4
"IS23298",4
"IS23306",2
"IS23308",4
"IS23319",2
"IS23322",4
"IS23335",2
"IS23341",4
"IS23357",4
"IS23358",4
"IS23363",4
"IS23366",4
"IS23367",4
"IS23370",4
"IS23373",4
"IS23375",4
"IS23376",4
"IS23514",2
"IS23521",2
"IS23574",2
"IS23579",2
"IS23586",2
"IS23590",2
"IS23601",2
"IS23615",4
"IS23644",1
"IS23645",1
"IS23651",1
"IS23666",1
"IS23669",1
"IS2367",2
"IS23674",2
"IS23675",2
"IS23679",2
"IS23684",2
"IS23685",2
"IS23687",2
"IS23693",2
"IS23694",2
"IS23698",2
"IS23700",2
"IS2371",5
"IS23711",2
"IS2379",4
"IS2382",4
"IS2397",4
"IS2416",4
"IS24283",4
"IS24286",4
"IS24287",4
"IS24288",4
"IS24292",4
"IS24294",2
"IS24297",3
"IS24299",2
"IS2430",1
"IS24302",2
"IS24308",2
"IS24309",2
"IS24327",1
"IS24332",1
"IS24334",1
"IS24336",3
"IS24348",1
"IS24360",1
"IS24369",1
"IS24379",3
"IS24386",3
"IS24389",3
"IS24413",3
"IS24416",3
"IS24417",3
"IS24713",2
"IS24775",1
"IS24786",1
"IS24875",2
"IS25055",2
"IS25098",2
"IS25506",4
"IS25522",2
"IS25523",2
"IS25524",2
"IS25543",4
"IS25548",5
"IS25670",1
"IS25690",1
"IS25694",1
"IS25702",1
"IS25706",1
"IS25708",1
"IS25722",1
"IS25732",1
"IS25733",1
"IS25752",1
"IS25766",1
"IS25772",1
"IS25783",1
"IS25784",1
"IS25798",1
"IS25804",1
"IS25812",1
"IS25816",1
"IS25836",1
"IS25839",1
"IS25848",1
"IS25865",1
"IS25868",1
"IS25877",1
"IS25888",1
"IS25912",1
"IS25913",1
"IS25921",1
"IS25931",1
"IS25936",1
"IS25945",1
"IS25966",1
"IS25985",1
"IS25987",1
"IS25989",1
"IS26000",1
"IS26005",1
"IS26008",1
"IS26025",1
"IS26031",1
"IS26056",1
"IS26072",1
"IS26090",1
"IS26091",1
"IS26101",1
"IS26103",1
"IS26108",1
"IS26110",1
"IS26123",1
"IS26131",1
"IS26136",1
"IS26137",1
"IS26142",1
"IS26147",1
"IS26148",1
"IS26198",2
"IS26222",2
"IS26224",2
"IS26282",2
"IS26285",2
"IS26370",2
"IS26376",2
"IS26390",2
"IS26404",2
"IS26419",2
"IS26434",2
"IS26485",1
"IS26516",1
"IS26532",1
"IS26540",2
"IS26548",2
"IS26565",2
"IS26566",2
"IS26575",2
"IS26576",1
"IS26579",2
"IS26588",2
"IS26594",2
"IS26596",2
"IS26598",2
"IS26602",2
"IS26634",4
"IS26635",4
"IS26638",4
"IS26641",4
"IS26821",2
"IS26827",2
"IS26837",2
"IS26925",2
"IS26978",3
"IS26991",3
"IS26993",3
"IS27003",3
"IS27071",4
"IS27087",4
"IS27100",4
"IS27123",4
"IS27129",4
"IS27132",4
"IS27137",4
"IS27139",4
"IS27146",4
"IS27156",4
"IS27164",4
"IS27165",4
"IS27167",4
"IS27169",4
"IS27179",4
"IS27215",4
"IS27222",4
"IS27233",4
"IS27253",4
"IS27287",1
"IS27292",1
"IS27336",1
"IS27387",2
"IS27393",2
"IS27490",1
"IS27502",1
"IS27527",1
"IS27557",1
"IS27587",1
"IS27599",1
"IS27680",3
"IS27697",3
"IS27708",3
"IS27717",3
"IS27726",3
"IS27736",2
"IS27740",3
"IS27766",3
"IS27775",1
"IS27855",4
"IS27858",4
"IS27859",4
"IS27887",4
"IS27912",4
"IS27942",4
"IS28036",2
"IS28086",2
"IS28141",2
"IS28143",2
"IS28313",2
"IS28317",2
"IS28332",4
"IS28444",2
"IS28449",2
"IS28451",2
"IS28614",4
"IS28688",2
"IS28740",4
"IS28747",2
"IS28749",2
"IS28849",2
"IS28966",2
"IS28991",2
"IS29053",2
"IS29091",4
"IS29100",2
"IS29187",4
"IS29228",4
"IS29233",4
"IS29239",4
"IS29241",4
"IS29304",4
"IS29310",4
"IS29314",4
"IS29326",4
"IS29335",4
"IS29358",4
"IS29392",4
"IS29407",4
"IS29409",4
"IS29441",4
"IS29468",4
"IS29472",4
"IS29496",4
"IS29565",4
"IS29568",4
"IS29569",4
"IS29582",4
"IS29685",4
"IS29689",4
"IS29691",4
"IS29714",4
"IS29733",4
"IS29757",4
"IS29772",4
"IS29798",4
"IS29808",4
"IS29838",4
"IS29856",4
"IS29860",4
"IS29866",4
"IS29870",4
"IS29872",4
"IS29876",4
"IS29911",4
"IS29914",4
"IS29950",4
"IS29966",4
"IS29977",4
"IS30024",4
"IS30079",4
"IS30092",4
"IS30095",4
"IS30122",4
"IS30145",4
"IS30175",4
"IS30205",4
"IS30207",4
"IS30213",1
"IS30231",4
"IS30318",4
"IS30319",4
"IS30335",6
"IS30359",6
"IS30360",6
"IS30371",6
"IS30383",6
"IS30391",6
"IS30397",6
"IS30398",6
"IS30400",6
