pi,country,region,longitude,latitude,Ann.Mean.Tmp,Mean.Tmp.Wrm.Q,Mean.Tmp.Cld.Q,Ann.Prc,Prc.Wet.M,Prc.Dry.M,Prc.Seas,Prc.Wet.Q,Prc.Dry.Q,Prc.Wrm.Q,Prc.Cld.Q,Mean.Diurn.Rng,Tmp.Seas,Max.Tmp.Wrm.M,Min.Tmp.Cld.M,Mean.Tmp.Wet.Q,Mean.Tmp.Dry.Q,topsoil_bdod,subsoil_bdod,topsoil_cec,subsoil_cec,topsoil_cfvo,subsoil_cfvo,topsoil_clay,subsoil_clay,topsoil_nitrogen,subsoil_nitrogen,topsoil_phh2o,subsoil_phh2o,topsoil_sand,subsoil_sand,topsoil_silt,subsoil_silt,topsoil_soc,subsoil_soc,tmean_Q1,tmean_Q2,tmean_Q3,tmean_Q4,prec_Q1,prec_Q2,prec_Q3,prec_Q4
IS11469,Eritrea,East Africa,36.650001,15.100001,28.5,31.7,25.6,382,131,0,141,314,0,55,0,15.5,227.1,40.9,16.5,27.7,26.7,157.1605835,162.8516235,494.3067017,493.5267334,123.7003708,163.8894806,523.7181396,514.8432007,117.7044525,142.947525,79.32955933,80.48698425,185.0397949,186.0729675,291.401062,299.2376404,60.56388474,80.01750946,26.73333333,31.76666667,27.7,27.8,0,55,314,13
IS11473,Eritrea,East Africa,36.650001,15.100001,28.5,31.7,25.6,382,131,0,141,314,0,55,0,15.5,227.1,40.9,16.5,27.7,26.7,157.1605835,162.8516235,494.3067017,493.5267334,123.7003708,163.8894806,523.7181396,514.8432007,117.7044525,142.947525,79.32955933,80.48698425,185.0397949,186.0729675,291.401062,299.2376404,60.56388474,80.01750946,26.73333333,31.76666667,27.7,27.8,0,55,314,13
IS30892,Uganda,East Africa,33.611111,1.715001,24.1,25.6,22.7,1353,196,27,49,510,115,169,402,12.5,111,33.2,17.2,23.6,25.3,134.6282349,136.8829498,177.1372375,165.2944489,103.8791809,152.2070618,417.6516418,447.0502319,139.9250488,72.35925293,60.17237473,60.60034561,369.8592834,345.6680298,212.8278809,207.5643463,155.414978,55.16201782,25.66666667,23.6,22.83333333,24.43333333,169,510,422,252
IS30982,Uganda,East Africa,33.398325,2.218353,23.7,25.1,22.4,1279,192,15,53,491,89,129,456,13,101.2,33.1,16.6,22.4,24.8,129.0280609,131.3203888,209.2619629,201.9545135,111.8398895,148.3653107,408.5827026,445.2696533,154.4734955,64.85594177,61.75,62.7142868,373.1668091,351.8096924,218.3461151,203.0271759,197.250473,109.6566772,25.13333333,23.36666667,22.46666667,23.73333333,129,440,491,219
IS30986,Uganda,East Africa,33.099998,2.099999,23.5,25,22.2,1320,191,17,51,489,98,136,440,13.1,104.8,33.1,16.4,22.6,24.6,129.1862183,131.1528015,185.5127563,167.284317,109.2978973,144.5677338,401.3145752,430.612854,157.72789,63.87495422,59.91423798,60.52015305,376.7409058,358.9123535,222.2331543,210.4748077,186.15242,74.65380859,25.03333333,23.23333333,22.26666667,23.53333333,136,451,487,246
IS30998,Uganda,East Africa,33.2,2.470001,23.7,25.2,22.5,1241,189,12,54,492,77,117,462,13.3,103.8,33.4,16.5,22.5,24.8,127.615097,129.3287811,216.2164154,206.3766785,109.9441071,155.9229736,372.3620605,379.0292969,170.1090851,94.70198059,60.85426331,61.76552582,375.600708,368.813446,252.2380371,252.6610718,228.8526001,135.2716064,25.23333333,23.46666667,22.5,23.66666667,117,424,492,208
IS31043,Uganda,East Africa,33.330001,3.349999,23.6,25.1,22.2,997,159,11,59,424,58,91,424,13,113.3,33.1,16.3,22.2,24.6,130.2375031,134.4028015,214.5242462,209.1980286,94.43527985,135.8121338,372.0922546,378.2940063,121.0762787,54.47117615,63.19886017,66.38988495,385.6170654,369.5522461,241.9450684,252.6362915,196.2058716,124.598114,25.16666667,23.43333333,22.2,23.4,91,349,412,145
IS31056,Uganda,East Africa,32.340001,3.25,24.7,26.4,23.3,1316,197,11,56,506,61,105,506,13.4,115.4,34.7,17.1,23.3,25.8,130.5036621,133.2316895,219.781723,216.1190338,188.4938965,229.8558655,336.8305054,333.1994324,128.8816223,65.13359833,61.72912598,62.59986877,397.3078003,387.4095764,265.7738647,279.5840454,192.5257874,82.51046753,26.4,24.53333333,23.36666667,24.46666667,105,449,506,256
IS31089,Uganda,East Africa,31.079999,2.480001,22.2,23.4,20.8,1160,160,19,48,461,84,117,461,11.6,110.9,30.4,14,20.8,22.9,131.8374329,135.4055176,176.8291931,172.5040588,119.4826965,199.0740662,396.7462158,432.5140381,139.6725616,66.73468781,61.2069664,61.990242,392.7006836,365.8054199,209.8009338,201.7803497,174.7683411,42.6806488,23.4,22.56666667,21.4,21.3,117,319,417,307
IS31094,Uganda,East Africa,31.079999,2.480001,22.2,23.4,20.8,1160,160,19,48,461,84,117,461,11.6,110.9,30.4,14,20.8,22.9,131.8374329,135.4055176,176.8291931,172.5040588,119.4826965,199.0740662,396.7462158,432.5140381,139.6725616,66.73468781,61.2069664,61.990242,392.7006836,365.8054199,209.8009338,201.7803497,174.7683411,42.6806488,23.4,22.56666667,21.4,21.3,117,319,417,307
IS31123,Uganda,East Africa,30.976293,3.029999,23.2,24.6,21.9,1373,206,16,51,572,93,141,510,11.6,105.7,31.8,16.7,22.1,24.2,134.9318237,135.8155823,134.7802124,127.32621,123.7154083,169.1031342,422.9563599,475.2261963,189.4225769,90.35664368,58.08333588,58.81557465,347.3278503,307.3030701,229.4679718,218.0565491,234.2550049,71.86001587,24.66666667,23.1,21.93333333,23.03333333,141,360,510,362
IS31147,Uganda,East Africa,30.976293,3.029999,23.2,24.6,21.9,1373,206,16,51,572,93,141,510,11.6,105.7,31.8,16.7,22.1,24.2,134.9318237,135.8155823,134.7802124,127.32621,123.7154083,169.1031342,422.9563599,475.2261963,189.4225769,90.35664368,58.08333588,58.81557465,347.3278503,307.3030701,229.4679718,218.0565491,234.2550049,71.86001587,24.66666667,23.1,21.93333333,23.03333333,141,360,510,362
IS31172,Uganda,East Africa,34.2,1.149999,22.4,23.4,21.6,1255,179,33,41,451,134,187,375,12.5,70.6,31.1,15.7,22.2,23.2,132.5381622,136.4850464,225.6896362,218.0858002,103.4296265,158.4714661,444.4680176,461.4510498,134.0018005,60.28488159,61.83665466,63.49861145,351.6796265,342.4516296,204.0143433,196.2044067,163.9670715,57.77799988,23.46666667,22.26666667,21.6,22.26666667,187,451,375,242
IS31175,Uganda,East Africa,34.299999,1.049999,19.7,20.7,18.9,1698,235,49,39,596,183,249,490,12.8,67.9,28.2,12.9,19.6,20.4,107.1213837,113.4193878,176.3939056,158.0314026,180.8474884,240.1226501,466.48172,534.6208496,269.2842102,126.960556,53.79980087,54.55921555,297.7269897,253.0576935,235.7677612,212.3212891,317.0270996,112.5223846,20.7,19.6,18.9,19.56666667,249,596,490,363
IS31176,Uganda,East Africa,34.299999,1.049999,19.7,20.7,18.9,1698,235,49,39,596,183,249,490,12.8,67.9,28.2,12.9,19.6,20.4,107.1213837,113.4193878,176.3939056,158.0314026,180.8474884,240.1226501,466.48172,534.6208496,269.2842102,126.960556,53.79980087,54.55921555,297.7269897,253.0576935,235.7677612,212.3212891,317.0270996,112.5223846,20.7,19.6,18.9,19.56666667,249,596,490,363
IS31179,Uganda,East Africa,34.299999,1.049999,19.7,20.7,18.9,1698,235,49,39,596,183,249,490,12.8,67.9,28.2,12.9,19.6,20.4,107.1213837,113.4193878,176.3939056,158.0314026,180.8474884,240.1226501,466.48172,534.6208496,269.2842102,126.960556,53.79980087,54.55921555,297.7269897,253.0576935,235.7677612,212.3212891,317.0270996,112.5223846,20.7,19.6,18.9,19.56666667,249,596,490,363
IS31195,Uganda,East Africa,34.069999,1.700001,23.8,25,22.7,1123,161,22,48,411,95,136,382,12.6,85.3,32.4,16.9,23.4,24.7,136.8954163,140,221.6851501,214.1138,61.61703491,118.808075,372.1663513,385.5838318,118.2855072,55.51548004,61.80290604,64.11022949,379.7511597,370.8610229,248.1054077,243.7171478,160.6161957,64.0085144,25,23.46666667,22.76666667,23.86666667,136,411,376,200
IS31202,Uganda,East Africa,33.090001,0.589999,22.2,22.8,21.3,1270,189,52,36,443,201,371,246,11.8,55.7,29.4,15.5,22.5,22.5,138.9367065,142.1183929,153.0709839,129.8695221,106.002243,138.2893066,392.6706543,441.2094727,144.8244781,61.839077,54.05135345,55.42565155,392.9421997,360.6052856,214.4131775,198.1768494,207.4786987,108.1329956,22.76666667,22.1,21.5,22.36666667,234,402,289,345
IS31274,Uganda,East Africa,30.649999,-0.6,20.3,20.8,19.9,968,135,29,42,345,121,213,135,12.2,38.9,27.3,13.2,20.2,20.1,135.7236938,140.3797302,182.6915588,179.1463623,161.2989807,207.3421021,406.3479004,431.0212402,191.9986572,116.6723633,59.80495453,60.86175537,347.8694763,335.288208,245.7657776,233.7098083,200.4977264,151.6130981,20.8,20.03333333,20.33333333,20.03333333,213,240,193,322
IS31275,Uganda,East Africa,30.399999,-0.449999,19.4,19.9,19,1133,145,37,37,396,158,251,180,12,36.3,26.3,12.5,19.2,19.1,121.7856903,126.4658432,245.9197388,221.8574677,73.34397888,95.77294159,378.258606,408.9428101,240.8152313,96.09091187,57.81586456,57.88580322,332.3012695,315.2764893,289.5597534,275.3444214,217.7430115,89.53430176,19.9,19.2,19.3,19.1,251,285,231,366
IS31299,Uganda,East Africa,29.930001,-0.990001,18.5,18.6,18.1,1100,145,28,39,370,130,257,158,12.3,24,25.2,11.4,18.5,18.2,113.0107422,122.5200348,213.817749,187.1819,72.62637329,114.9049377,390.4313965,416.4337769,237.9136658,132.6786194,55.86508942,57.44487,353.4901123,342.5512085,256.1020203,241.1676331,251.1082153,114.6858215,18.66666667,18.26666667,18.46666667,18.4,257,275,203,365
IS31302,Uganda,East Africa,29.930001,-0.990001,18.5,18.6,18.1,1100,145,28,39,370,130,257,158,12.3,24,25.2,11.4,18.5,18.2,113.0107422,122.5200348,213.817749,187.1819,72.62637329,114.9049377,390.4313965,416.4337769,237.9136658,132.6786194,55.86508942,57.44487,353.4901123,342.5512085,256.1020203,241.1676331,251.1082153,114.6858215,18.66666667,18.26666667,18.46666667,18.4,257,275,203,365
IS31401,Uganda,East Africa,30.100003,0.159999,23.3,23.8,22.8,909,123,27,39,317,134,246,267,12.9,41.8,30.9,16,23,23.4,136.2888794,140.4181061,322.1349487,310.4143982,154.4038849,193.4096069,425.3554688,458.3140259,177.2776489,83.54923248,64.05866241,65.45877075,317.1718445,298.9203491,257.9228516,242.7666931,284.2339172,227.6671448,23.76666667,23.33333333,23.23333333,22.8,150,268,224,267
IS31411,Uganda,East Africa,30.229999,0.180015,23.2,23.7,22.8,933,125,29,38,323,134,153,270,12.8,41.3,30.9,16,23,23.4,137.4228821,141.6528931,250.2036591,247.6914368,113.2057648,139.3545837,351.1644287,382.0354614,171.0604553,80.14336395,60.828022,60.62566376,337.8475342,318.9309998,310.774353,299.2235107,294.338623,137.9159393,23.76666667,23.23333333,23.13333333,22.83333333,153,275,235,270
IS31446,Uganda,East Africa,30.25,0.129999,23.3,23.7,22.8,910,125,28,39,317,132,151,265,12.8,39.3,30.9,16.1,23,23.4,136.9689331,140.9243164,230.5395966,220.0779266,95.16932678,124.9647598,369.5181885,395.5799561,184.9024353,89.3776474,58.52272034,58.94998932,344.8629761,324.9085083,285.5928955,279.7753296,266.0033569,109.7244034,23.76666667,23.3,23.23333333,22.86666667,151,269,225,265
