"","topsoil_pH","subsoil_pH","topsoil_cec","subsoil_cec","topsoil_nitrogen","subsoil_nitrogen","topsoil_sand","subsoil_sand","topsoil_silt","subsoil_silt","topsoil_clay","subsoil_clay","topsoil_soc","subsoil_soc","Ann.Mean.Tmp","Tmp.Seas","Mean.Diurn.Rng","Max.Tmp.Wrm.M","Min.Tmp.Cld.M","Mean.Tmp.Wet.Q","Mean.Tmp.Dry.Q","Mean.Tmp.Wrm.Q","Mean.Tmp.Cld.Q","Ann.Prc","Prc.Seas","Prc.Wet.Q","Prc.Dry.Q","Prc.Cld.Q","Prc.Wrm.Q","Prc.Wet.M","Prc.Dry.M","tmean_Q1","tmean_Q2","tmean_Q3","tmean_Q4","prec_Q1","prec_Q2","prec_Q3","prec_Q4"
"IS19153.MRG.4.250047481",-4.22727716889115,-4.5709753401844,15.2162371905922,19.3177798817345,-17.956002449089,-14.4876806770213,-24.6854737391312,-23.1712834981917,-2.15249943649924,-30.3790147199495,17.2011840881193,40.0890865829254,-6.09865686823454,-20.3730389218961,18.4259689173448,-103.425901352896,16.8733164726368,32.5639520575189,19.0713422958227,16.0655290053027,16.4706269121561,20.378973376892,22.9472511657363,172.54647113351,-13.2338966235858,35.8029406543871,6.05683599738379,225.224152506678,-126.600907593114,10.7586025358261,-1.35990578548523,34.7975803381686,9.91330676824786,10.766036010916,17.3419932947092,-95.7497889383109,115.753573215333,150.504232278033,-0.406338973752685
"IS28313.MRG.4.250047558",7.26043883583249,6.56258603681059,6.75135380779229,7.4900206937814,2.63155478637025,8.67523202072875,-16.4433037885974,-16.4020297610639,50.4147000791192,52.5156555319768,-34.6459803819555,-38.1641841165126,-13.6112516643315,0.939044345456856,-23.9068486396215,794.090413628376,1.95979533579671,-19.0662239963484,-37.8210101118074,-2.82548497072613,-46.292156416648,-14.7879299703776,-36.4652113256,-362.02573572077,-7.76102260173717,-210.83229502531,-11.2592186426501,-138.540786989562,-43.4163811926876,-71.0830817223828,-3.80684070281043,-37.2563681809827,-23.173370533489,-4.64869998710357,-29.4931748041887,-59.6547670439102,-69.2404772833709,-153.304467858678,-79.5957591951031
"IS31186.MRG.4.250047643",-10.4471572419415,-5.53901472354699,-21.1177225361915,-23.6374242490173,7.37574190971911,-5.46590211378799,-25.1295117573554,-11.0098902632639,-37.9091433466522,-67.8747882645587,43.9830555008801,60.4501942919897,43.2982795953128,2.50971286317444,-24.9518067879711,-907.509403067526,-7.62937835048953,-49.0792232479842,-1.0221803893743,-16.0272218622169,-31.6548707904445,-34.9628686932926,-14.4613484962814,374.83034746743,-43.5063658095918,4.35845430390807,125.514462227681,17.9477529231503,9.93882539890721,0.555435517084565,29.3394479490973,-16.6515647419901,-42.2395709572638,-21.8553050698397,-18.2204918049971,120.603180206328,173.225275506091,-123.50688484685,202.988197388484
"PI563334.D1G0BACXX.7.250130176",-4.88699913215539,-4.59397628546592,-77.8306014112515,-66.5586604264276,-51.4538118936579,-26.9790068952629,85.2239627094996,76.6777078896595,-37.8009552179689,-58.5721056465488,-56.6295146436251,-40.6968627557029,-65.7258602113418,-30.1659046196995,25.6190687999508,332.794019471211,7.37385336365706,33.8356001624703,6.28269511088996,19.7877846329525,6.845035309226,33.2679502259474,23.6704442145972,-34.84934334196,17.4496654421632,92.2729154375475,-30.4738730079018,-143.758624301115,-107.798188035608,42.3643767852822,-9.55536068816502,30.5669485288749,32.7451933414917,16.6731040048369,21.756755336203,-136.20188664356,-11.1080886148897,212.447820733695,-100.201600307402
"PI563338.D1G0BACXX.7.250130188",-4.61776941694358,-4.41994476512199,-89.9107033049277,-78.4977493114984,-55.265088539196,-28.6336675834367,79.5995344651564,71.4437148671369,-32.9401681576364,-53.6794336507789,-57.668473058306,-38.9858365020465,-69.1206030750132,-31.244628305734,28.1598642556627,403.234332654829,9.06618138111743,38.1422590330511,5.69788565671657,21.0088908520892,8.7682653682893,36.736735075875,25.7388482297868,-50.1562155951585,22.0048583937033,101.164632702794,-35.0097586514877,-179.964616357754,-132.192152800234,49.2242835269274,-10.9787142379174,28.8653944018882,39.3586708711111,21.3781251832469,21.9959681728038,-155.949510094279,-18.400814326626,236.796162234879,-112.806396490251
"PI563343.D1G0BACXX.7.250130200",-3.67458107581593,-3.35384658141069,-74.3943152749204,-63.1741890046766,-46.7640042991626,-24.8121617346094,84.2623027290974,76.078278460561,-34.1646504480052,-54.3203372028814,-62.4419068012314,-50.1197947515226,-62.6362495770285,-28.9683368476817,24.5546781517159,405.825132449221,6.58080980204343,33.0854000395495,6.32755780884093,18.3236082130463,7.87909114983614,31.8814179804455,21.0630244388488,-10.8471281121726,17.5239145809881,91.4985999838093,-29.0131091969989,-40.4008417675952,-103.685406002771,38.6040675413074,-9.74308286313078,27.9812364470172,32.7174138832032,16.6969975601325,19.5872075955603,-139.869949934605,-0.959471214909623,213.146734147838,-84.3069074249646
"PI563348.D1G0BACXX.7.250130212",-0.58555933077155,0.231510222935396,-64.2399271070848,-53.3613839638215,-33.8565346024683,-21.9580320037086,84.9480376654041,77.1533744400318,-16.5981201288306,-35.8458980308197,-77.1601779217813,-64.3637194200743,-63.4911194822308,-30.0440224839661,20.9436082193097,559.768226339013,2.43651587349063,29.002571027542,4.96941385621121,14.328704110413,3.78092939041597,30.8242285509411,18.3335611978944,-2.9753479096028,10.2558507252753,70.0687900376023,-29.668958663702,20.4885617343383,-88.2728351764425,27.0080821416009,-9.11544597410446,27.3561681618954,26.0764591103273,12.2693965266216,16.3404439347477,-126.354881974486,32.8466575467267,187.22055266661,-97.6488416273089
"PI563350.D1G0BACXX.7.250130224",-4.86219606778344,-5.00911117035146,-84.4212570361088,-71.9957209327764,-54.9371965510013,-27.6912445587031,87.7278102226353,79.7748603963586,-34.3933275917945,-57.3997296693749,-65.0791606660666,-49.8592341637,-68.7660816108678,-30.0244834624295,30.1426700435224,389.948041054691,9.47006105215456,41.5168607341454,6.25389815929039,24.7759032651823,11.2690479054322,38.4153598253884,27.135264781466,-17.8152143658161,25.2674563967858,128.229866552648,-34.3870776918454,-153.386173904606,-143.304103338288,54.6629336105151,-11.0952980454841,30.4285678209645,42.5841990190574,24.1158575058298,22.8478978901243,-174.562064734199,-22.141199642304,285.780686506366,-108.716281846944
"PI563359.D1G0BACXX.7.250130141",-3.55301170878319,-3.16999791314329,-72.0740220503361,-60.4306417109599,-46.2072209483026,-24.1140509946398,87.6692155900877,78.8193643917193,-35.4388608561783,-56.8585434348527,-64.2277576490572,-52.0537627061044,-63.6436314486196,-28.5733879062706,25.1432452373876,407.443205981143,5.42633014324153,33.8123876446224,8.16422725612948,18.5267036371887,9.18271845181264,33.18717125486,21.6446194384682,-9.69559549480306,17.6918904096209,92.8903022706655,-28.6629677846973,-56.712758306914,-106.406708150694,37.8021245769548,-9.51574707529708,29.0501570625472,33.2221473663288,17.5622860659814,20.4115210447357,-137.807917441092,0.0424930553650026,217.690211078745,-91.0746907647229
"PI563364.D1G0BACXX.7.250130153",-1.74866327823962,-1.75171459618021,-61.0225325540736,-47.7637523117616,-44.825798142783,-25.5667578981479,73.4826682605618,70.1089923843087,-16.7632096737179,-39.5578221468486,-68.0404129390773,-53.7082778481356,-69.5281342113084,-32.9568673659465,25.0413933063964,753.140003457451,6.32835580401085,41.5640542210225,0.928096764748861,17.0764474981795,4.25058672933599,38.1230329021799,19.6728076998519,10.4224827899336,20.2861761304658,119.526106781922,-39.0212564665184,-2.29698470742558,-109.441360460159,45.2833920965386,-11.6986051820895,26.156313720809,38.0631373379028,19.1919456255084,15.4448574236419,-176.343893249906,17.8883217286543,288.475758373361,-121.621570826376
