"","pet_min","AridityIndex","max_heat_index","ann_heat_index","coldindex.mean","coldindex.min"
"IS19153.MRG.4.250047481",27.8784781128765,-121.844864470581,2.60572859190339,1.30998279617688,-0.15298167384542,-0.127142281972157
"IS28313.MRG.4.250047558",-10.7144629384026,-2009.58033510458,-1.58775993164957,-1.46171483944018,0.243101408072508,0.252140067412051
"IS31186.MRG.4.250047643",1.39525311363636,2144.10796681237,-4.07969246933704,-1.63254244944693,0.0964089896809634,0.00681453592915203
"PI563334.D1G0BACXX.7.250130176",20.917607538354,-839.328967806304,2.68819125622411,1.83387672738306,-0.157802961968337,-0.0418846340726059
"PI563338.D1G0BACXX.7.250130188",23.9186449009994,-975.924946857032,3.04757746154553,2.0142919488473,-0.17159232215145,-0.037985904378112
"PI563343.D1G0BACXX.7.250130200",17.4975067282051,-689.383557055427,2.65207296856242,1.73755142349194,-0.140420163336064,-0.0421837187256065
"PI563348.D1G0BACXX.7.250130212",12.3441257682015,-624.104358138763,2.28774246712441,1.53286690776099,-0.122223740977774,-0.0331294257080797
"PI563350.D1G0BACXX.7.250130224",23.5174265530234,-891.826377914059,3.32308579075806,2.14021036458168,-0.180901765978703,-0.0416926543952673
"PI563359.D1G0BACXX.7.250130141",16.8145671470855,-710.401707438696,2.69405049752348,1.78155099759071,-0.144297464098805,-0.0544281817075297
"PI563364.D1G0BACXX.7.250130153",15.7241444185542,-665.727908393261,3.3390882761522,1.84689417988991,-0.131152051774123,-0.00618731176499871
"PI563366.D1G0BACXX.7.250130165",23.3737567117145,-803.1579400695,3.02956003811317,2.09103247258913,-0.181590981934292,-0.059776807980463
"PI563377.D1G0BACXX.7.250130177",-3.39690189204194,-1214.00694545547,0.924072881997864,-0.401502595762517,0.16826230871921,0.227529561521275
"PI563378.D1G0BACXX.7.250130189",18.493044401762,-2487.34178412669,3.21733163719441,1.14368499196832,-0.0496005548363998,0.0443812805410671
"PI329252.D1G0BACXX.7.250129882",-1.59304564439805,219.031629978415,-3.46150649190013,-2.18551848524415,0.194467097219324,0.213352258948895
"PI329256.D1G0BACXX.7.250130089",-1.29139146236471,-1866.23427546831,0.613370028532052,0.0618346674045141,0.0721307164393482,0.0830871134235877
"PI329285.D1G0BACXX.7.250130006",-12.3949038674919,1005.79203949612,-6.25223676815431,-4.61574463361527,0.490236634238541,0.536723938072343
"PI329286.D1G0BACXX.7.250130018",-15.3416423401544,515.641313169895,-5.51270021399103,-4.39226575628926,0.500040132445809,0.545670616050442
