pi,country,region,prc.score,temp.score,score
IS10068,Burkina Faso,West Africa,0.418579247,0.288851439,0.707430686
IS10189,Burkina Faso,West Africa,0.449427539,0.154832622,0.604260161
IS10191,Burkina Faso,West Africa,0.61380945,0.225859522,0.839668972
IS1033,India,South Asia,0.328905168,0.303554447,0.632459615
IS1036,India,South Asia,0.108043029,0.182561699,0.290604728
IS1052,India,South Asia,0.331524581,0.353961381,0.685485962
IS10876,Nigeria,West Africa,0.429070383,0.122497401,0.551567785
IS10882,Nigeria,West Africa,0.429070383,0.122497401,0.551567785
IS1106,India,South Asia,0.307398405,0.131767631,0.439166037
IS1107,India,South Asia,0.365400336,0.28987689,0.655277226
IS11119,Ethiopia,East Africa,0.383224853,0.117517263,0.500742116
IS1127,India,South Asia,0.270771073,0.196082336,0.46685341
IS11374,Ethiopia,East Africa,0.270062948,0.168944884,0.439007832
IS11424,Ethiopia,East Africa,0.239204373,0.173720237,0.41292461
IS11431,Ethiopia,East Africa,0.301328823,0.082505667,0.38383449
IS11473,Eritrea,East Africa,0.261461281,0.510591111,0.772052393
IS1151,India,South Asia,0.434677774,0.243212116,0.677889891
IS11619,Ethiopia,East Africa,0.397045981,0.117562693,0.514608674
IS11758,Ethiopia,East Africa,0.257686818,0.125682336,0.383369154
IS1182,India,South Asia,0.396802267,0.263244537,0.660046804
IS1186,India,South Asia,0.25785985,0.314381776,0.572241626
IS1187,India,South Asia,0.39202257,0.324171665,0.716194235
IS11919,Eritrea,East Africa,0.309316915,0.086517262,0.395834178
IS11954,Eritrea,East Africa,0.241871107,0.077449778,0.319320884
IS11960,Eritrea,East Africa,0.241871107,0.077449778,0.319320884
IS12031,Ethiopia,East Africa,0.295244264,0.167009367,0.462253631
IS12106,Ethiopia,East Africa,0.124468627,0.48377493,0.608243557
IS12110,Ethiopia,East Africa,0.311230785,0.17035151,0.481582296
IS12169,Ethiopia,East Africa,0.345902842,0.180542823,0.526445665
IS1236,India,South Asia,0.205450913,0.291133484,0.496584397
IS1240,India,South Asia,0.196626331,0.193123473,0.389749803
IS1243,India,South Asia,0.192047277,0.252913785,0.444961062
IS1246,India,South Asia,0.20590856,0.290766585,0.496675145
IS12531,Ethiopia,East Africa,0.237122175,0.136360258,0.373482432
IS1257,India,South Asia,0.189321193,0.260186082,0.449507275
IS12584,Kenya,East Africa,0.263722281,0.312714454,0.576436735
IS12590,Kenya,East Africa,0.262941186,0.404096,0.667037186
IS12606,Philippines,South Asia,NA,NA,NA
IS12734,China,East Asia,0.362368806,0.164559113,0.526927919
IS12740,China,East Asia,0.440796524,0.460969277,0.901765801
IS12779,Turkey,Middle East,0.034141939,0.243180536,0.277322476
IS12782,Turkey,Middle East,0.255229353,0.173440108,0.428669461
IS12789,Turkey,Middle East,0.031527877,0.28647577,0.318003647
IS12793,Turkey,Middle East,0.266107062,0.137742387,0.403849448
IS12796,Turkey,Middle East,0.184560092,0.288435376,0.472995468
IS12801,Turkey,Middle East,0.181766282,0.241237243,0.423003525
IS12804,Turkey,Middle East,0.173264146,0.140950518,0.314214663
IS12805,Turkey,Middle East,0.386659163,0.143948147,0.53060731
IS12808,Turkey,Middle East,0.137006563,0.147621498,0.284628062
IS12810,Turkey,Middle East,0.120660289,0.13762689,0.258287178
IS12811,Turkey,Middle East,0.141252258,0.135172784,0.276425043
IS12813,Turkey,Middle East,0.084821775,0.160664847,0.245486622
IS12815,Turkey,Middle East,0.147363175,0.204108022,0.351471198
IS12817,Turkey,Middle East,0.154441511,0.174797897,0.329239408
IS12818,Turkey,Middle East,0.231892605,0.266070491,0.497963096
IS12819,Turkey,Middle East,0.416232995,0.196367646,0.61260064
IS12821,Turkey,Middle East,0.160582618,0.142253956,0.302836574
IS12822,Turkey,Middle East,0.182469237,0.218995783,0.40146502
IS13148,Iraq,Middle East,0.283687059,0.263803136,0.547490196
IS13155,Turkey,Middle East,0.106951647,0.132071946,0.239023592
IS13263,India,South Asia,0.127976685,0.349987035,0.47796372
IS13264,India,South Asia,0.230284724,0.243931957,0.474216681
IS13515,Saudi Arabia,Middle East,0.117849509,0.32606927,0.443918779
IS1360,India,South Asia,0.328597787,0.26208975,0.590687537
IS1371,India,South Asia,0.271086181,0.412281832,0.683368014
IS13782,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS13791,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS13827,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS13845,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS13893,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS13919,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS13926,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS13971,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS1398,Sudan,East Africa,0.482799908,0.211788686,0.694588593
IS13989,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS1401,Pakistan,Middle East,0.243786269,0.237445831,0.481232099
IS14010,South Africa,South Africa,0.527697024,0.182839076,0.7105361
IS14133,Turkey,Middle East,0.300103246,0.08842055,0.388523796
IS1416,India,South Asia,0.456136049,0.361629201,0.81776525
IS1425,India,South Asia,0.272850837,0.255713978,0.528564816
IS14444,India,South Asia,0.353650253,0.276219576,0.629869829
IS14446,Sudan,East Africa,0.586292628,0.398077858,0.984370486
IS14449,Sudan,East Africa,0.586292628,0.398077858,0.984370486
IS14478,South Sudan,East Africa,0.542168877,0.163116322,0.705285199
IS14556,Ethiopia,East Africa,0.137964294,0.444286187,0.582250482
