pi,country,region,prc.score,temp.score,score
IS10034,Ethiopia,East Africa,0.396950995,0.000174441,0.397125436
IS10101,Burkina Faso,West Africa,0.450624512,0,0.450624512
IS10162,Burkina Faso,West Africa,0.632996408,0,0.632996408
IS10177,Burkina Faso,West Africa,0.418555511,0,0.418555511
IS10183,Burkina Faso,West Africa,0.462660414,0,0.462660414
IS1019,India,South Asia,0.170070686,8.85687808501519e-07,0.170071572
IS1027,India,South Asia,0.304898832,8.85687808501519e-07,0.304899718
IS10279,Sudan,East Africa,0.348577787,0,0.348577787
IS1041,India,South Asia,0.436438824,9.44987510484867e-07,0.436439769
IS1062,India,South Asia,0.348594688,9.44987510484867e-07,0.348595633
IS1064,India,South Asia,0.403595791,9.44987510484867e-07,0.403596736
IS1066,India,South Asia,0.403595791,9.44987510484867e-07,0.403596736
IS1070,India,South Asia,0.403595791,9.44987510484867e-07,0.403596736
IS10876,Nigeria,West Africa,0.427340373,0,0.427340373
IS10886,Nigeria,West Africa,0.427340373,0,0.427340373
IS11015,Ethiopia,East Africa,0.396950995,0.000174441,0.397125436
IS11026,Ethiopia,East Africa,0.30205677,0.000174441,0.302231211
IS11061,Ethiopia,East Africa,0.192037807,0.000174441,0.192212247
IS11074,Ethiopia,East Africa,0.409979005,0.000174441,0.410153445
IS11080,Ethiopia,East Africa,0.40047983,0.000174441,0.400654271
IS11118,Ethiopia,East Africa,0.384930901,0.000174441,0.385105342
IS11119,Ethiopia,East Africa,0.384930901,0.000174441,0.385105342
IS1115,India,South Asia,0.375943839,8.85687808501519e-07,0.375944725
IS11188,Ethiopia,East Africa,0.397828996,0.000174441,0.398003437
IS11194,Eritrea,East Africa,0.223883033,0,0.223883033
IS1121,India,South Asia,0.451600556,9.44987510484867e-07,0.451601501
IS11230,Ethiopia,East Africa,0.273352629,0.000174441,0.273527069
IS11267,Ethiopia,East Africa,0.30205677,0.000174441,0.302231211
IS1127,India,South Asia,0.404128133,9.44987510484867e-07,0.404129078
IS11288,Ethiopia,East Africa,0.346330243,0.000174441,0.346504683
IS1129,India,South Asia,0.404128133,9.44987510484867e-07,0.404129078
IS11336,Ethiopia,East Africa,0.409636788,0.000174441,0.409811228
IS11352,Ethiopia,East Africa,0.409979005,0.000174441,0.410153445
IS1136,India,South Asia,0.291595798,8.25642161430568e-07,0.291596624
IS11360,Ethiopia,East Africa,0.39566564,0.000174441,0.395840081
IS11364,Ethiopia,East Africa,0.405133519,0.000174441,0.40530796
IS11368,Ethiopia,East Africa,0.405133519,0.000174441,0.40530796
IS11374,Ethiopia,East Africa,0.272944233,0.000174441,0.273118674
IS11396,Ethiopia,East Africa,0.346044757,0.000174441,0.346219197
IS11423,Ethiopia,East Africa,0.386003329,0.000174441,0.386177769
IS11438,Ethiopia,East Africa,0.346578339,0.000174441,0.346752779
IS11450,Ethiopia,East Africa,0.37710935,0.000174441,0.377283791
IS11469,Eritrea,East Africa,0.246196418,0,0.246196418
IS11473,Eritrea,East Africa,0.246196418,0,0.246196418
IS11548,Ethiopia,East Africa,0.237054446,0.000174441,0.237228887
IS11556,Ethiopia,East Africa,0.237054446,0.000174441,0.237228887
IS11568,Ethiopia,East Africa,0.237054446,0.000174441,0.237228887
IS11577,Ethiopia,East Africa,0.285504263,0.000174441,0.285678704
IS11579,Ethiopia,East Africa,0.368941885,0.000174441,0.369116326
IS11617,Ethiopia,East Africa,0.396950995,0.000174441,0.397125436
IS11619,Ethiopia,East Africa,0.396950995,0.000174441,0.397125436
IS11673,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
IS11682,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
IS11702,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
IS11768,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
IS11775,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
IS11784,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
IS11803,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
IS11806,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
IS11812,Ethiopia,East Africa,0.260677111,0.000174441,0.260851552
