country,region,num_accessions,prc.score,temp.score,fc.score
Botswana,South Africa,40,0.395500022,0.128724426,0.524224448
Burkina Faso,West Africa,25,1.586062941,0.976968729,2.56303167
Cameroon,West Africa,28,0.220840623,0.414517378,0.635358001
China,East Asia,73,0.104008346,0.139172724,0.24318107
Eritrea,East Africa,7,0.254304818,0.140622466,0.394927284
Ethiopia,East Africa,84,0.669062241,0.50945606,1.178518301
India,Southern Asia,265,0.408073062,0.350051202,0.758124264
Kenya,East Africa,32,0.272082566,0.277196741,0.549279307
Lesotho,South Africa,79,0.087477294,0.047197233,0.134674528
Malawi,Eastern Africa,12,0.687649618,0.35911507,1.046764688
Mali,West Africa,34,0.770506517,0.552903974,1.323410492
Nigeria,West Africa,70,0.90068027,0.562578198,1.463258467
Senegal,West Africa,11,1.202335821,0.542861001,1.745196822
Somalia,East Africa,17,0.244795538,0.242944105,0.487739643
South Africa,South Africa,110,0.185267263,0.104044879,0.289312141
South Sudan,East Africa,12,1.348923304,0.411220016,1.760143321
Sudan,East Africa,56,1.174050155,0.542180382,1.716230537
Eswatini,South Africa,62,0.079911383,0.033313976,0.11322536
Togo,West Africa,16,0.31456715,0.206337462,0.520904612
Turkey,West Asia,13,0.284387218,0.281506338,0.565893556
Uganda,East Africa,35,2.5562193,1.311526617,3.867745917
Tanzania,East Africa,12,3.349401626,2.393750136,5.743151762
Yemen,West Asia,77,0.100462981,0.12848003,0.228943011
Zambia,East Africa,12,2.515804368,0.98168798,3.497492349
Zimbabwe,South Africa,126,0.16891599,0.070458984,0.239374974
