pi,country,region,score.prc,score.temp,score
IS10068,Burkina Faso,West Africa,0,0.090909091,0.090909091
IS10189,Burkina Faso,West Africa,0.166666667,0,0.166666667
IS10191,Burkina Faso,West Africa,0,0,0
IS1033,India,South Asia,0.166666667,0.454545455,0.621212121
IS1036,India,South Asia,0,0,0
IS1052,India,South Asia,0,0,0
IS10876,Nigeria,West Africa,0,0,0
IS10882,Nigeria,West Africa,0,0,0
IS1106,India,South Asia,0,0,0
IS1107,India,South Asia,0,0,0
IS11119,Ethiopia,East Africa,0,0,0
IS1127,India,South Asia,0,0,0
IS11374,Ethiopia,East Africa,0,0,0
IS11424,Ethiopia,East Africa,0,0,0
IS11431,Ethiopia,East Africa,0,0,0
IS11473,Eritrea,East Africa,0.166666667,0.818181818,0.984848485
IS1151,India,South Asia,0.166666667,0.272727273,0.439393939
IS11619,Ethiopia,East Africa,0.166666667,0,0.166666667
IS11758,Ethiopia,East Africa,0,0,0
IS1182,India,South Asia,0,0,0
IS1186,India,South Asia,0,0,0
IS1187,India,South Asia,0,0,0
IS11919,Eritrea,East Africa,0,0,0
IS11954,Eritrea,East Africa,0,0,0
IS11960,Eritrea,East Africa,0,0,0
IS12031,Ethiopia,East Africa,0,0,0
IS12106,Ethiopia,East Africa,0,0,0
IS12110,Ethiopia,East Africa,0,0,0
IS12169,Ethiopia,East Africa,0,0,0
IS1236,India,South Asia,0,0,0
IS1240,India,South Asia,0,0,0
IS1243,India,South Asia,0,0,0
IS1246,India,South Asia,0,0,0
IS12531,Ethiopia,East Africa,0,0,0
IS1257,India,South Asia,0,0.090909091,0.090909091
IS12584,Kenya,East Africa,0.166666667,0,0.166666667
IS12590,Kenya,East Africa,0,0,0
IS12606,Philippines,South Asia,0.166666667,0,0.166666667
IS12734,China,East Asia,0,0.090909091,0.090909091
IS12740,China,East Asia,0,0.090909091,0.090909091
IS12779,Turkey,West Asia,0,0.090909091,0.090909091
IS12782,Turkey,West Asia,0,0.090909091,0.090909091
IS12789,Turkey,West Asia,0,0.090909091,0.090909091
IS12793,Turkey,West Asia,0,0.090909091,0.090909091
IS12796,Turkey,West Asia,0.166666667,0.090909091,0.257575758
IS12801,Turkey,West Asia,0,0.090909091,0.090909091
IS12804,Turkey,West Asia,0.166666667,0.090909091,0.257575758
IS12805,Turkey,West Asia,0,0.090909091,0.090909091
IS12808,Turkey,West Asia,0,0.090909091,0.090909091
IS12810,Turkey,West Asia,0,0.090909091,0.090909091
IS12811,Turkey,West Asia,0,0.090909091,0.090909091
IS12813,Turkey,West Asia,0,0.090909091,0.090909091
IS12815,Turkey,West Asia,0,0,0
IS12817,Turkey,West Asia,0,0.090909091,0.090909091
IS12818,Turkey,West Asia,0,0.090909091,0.090909091
IS12819,Turkey,West Asia,0,0.090909091,0.090909091
IS12821,Turkey,West Asia,0,0.090909091,0.090909091
IS12822,Turkey,West Asia,0,0.090909091,0.090909091
IS13148,Iraq,West Asia,0,0,0
IS13155,Turkey,West Asia,0,0,0
IS13263,India,South Asia,0,0.090909091,0.090909091
IS13264,India,South Asia,0,0.090909091,0.090909091
