"","pi","country","region","score.prc","score.temp","score"
"16","IS11473","Eritrea","East Africa",0.166666666666667,0.818181818181818,0.984848484848485
"18","IS11619","Ethiopia","East Africa",0.166666666666667,0,0.166666666666667
"23","IS11919","Eritrea","East Africa",0,0,0
"47","IS12804","Turkey","Middle East",0.166666666666667,0.0909090909090909,0.257575757575758
"66","IS13782","South Africa","South Africa",0,0,0
"70","IS13893","South Africa","South Africa",0,0,0
"71","IS13919","South Africa","South Africa",0,0,0
"73","IS13971","South Africa","South Africa",0,0,0
"77","IS14010","South Africa","South Africa",0,0,0
"130","IS17941","India","South Asia",0.166666666666667,0.454545454545455,0.621212121212121
"133","IS17980","India","South Asia",0,0.454545454545455,0.454545454545455
"134","IS18039","India","South Asia",0,0.454545454545455,0.454545454545455
"149","IS19262","Sudan","East Africa",0,0,0
"166","IS19859","India","South Asia",0.333333333333333,0.545454545454545,0.878787878787879
"172","IS19975","Senegal","West Africa",0.333333333333333,0.0909090909090909,0.424242424242424
"226","IS21083","Kenya","East Africa",0.333333333333333,0,0.333333333333333
"244","IS21512","Malawi","South Africa",0.166666666666667,0.181818181818182,0.348484848484849
"256","IS21645","Malawi","South Africa",0.166666666666667,0.181818181818182,0.348484848484849
"257","IS21863","Syrian Arab Republic","Middle East",0,0.0909090909090909,0.0909090909090909
"275","IS22239","Botswana","South Africa",0,0,0
"279","IS22294","Botswana","South Africa",0,0,0
"287","IS22609","Sri Lanka","South Asia",0.5,0.272727272727273,0.772727272727273
"289","IS22616","Myanmar","South Asia",0,0.0909090909090909,0.0909090909090909
"294","IS22720","Somalia","East Africa",0,0.454545454545455,0.454545454545455
"301","IS22799","Somalia","East Africa",0,0.636363636363636,0.636363636363636
"303","IS22986","Sudan","East Africa",0,0.545454545454545,0.545454545454545
"315","IS23216","Zambia","South Africa",0.166666666666667,0,0.166666666666667
"339","IS23514","Ethiopia","East Africa",0,0.545454545454545,0.545454545454545
"340","IS23521","Ethiopia","East Africa",0,0.454545454545455,0.454545454545455
"342","IS23579","Ethiopia","East Africa",0,0.545454545454545,0.545454545454545
"343","IS23586","Ethiopia","East Africa",0,0.363636363636364,0.363636363636364
"344","IS23590","Ethiopia","East Africa",0,0.363636363636364,0.363636363636364
"347","IS23644","Gambia","West Africa",0.166666666666667,0.363636363636364,0.53030303030303
"356","IS23684","Mozambique","South Africa",0.166666666666667,0.0909090909090909,0.257575757575758
"365","IS2379","South Africa","South Africa",0,0,0
"366","IS2382","South Africa","South Africa",0,0,0
"367","IS2397","South Africa","South Africa",0,0,0
"385","IS24348","India","South Asia",0.166666666666667,0.454545454545455,0.621212121212121
"405","IS25548","Rwanda","East Africa",0.166666666666667,0,0.166666666666667
